"","Peripartum cardiomyopathy (PPCM)","Hypertrophic cardiomyopathy (HCM)","Dilated cardiomyopathy (DCM)","Serous Ovarian Cancer Tumor","Dysplasia","Unknown","Insulin resistant","Major depression","Bipolar disorder","Schizophrenia","Cancer","AD","Early age-related maculopathy","Late non-exudative age-related maculopathy","Alzheimer's","AMD"
"CXADR",0.327864106099137,0.000176111572054148,3.62773317189126e-31,7.8141588545688e-21,6.1483810719248e-09,6.72663598475395e-05,9.38975588667893e-13,0.000203945588151273,9.46851915805335e-05,0.000315520182333473,0.00359465683579028,7.87896810403033e-05,8.4908341438784e-05,1.00180089838264e-06,3.46885705834706e-07,8.9279103864914e-08
"CXXC4",0.280498858193718,0.000571644081709888,4.07196680095882e-27,0.00252578707823357,0.00190484672899074,8.50913729200648e-05,0.00013835056801089,0.0381868836380436,0.00697090990531284,1.79631060969545e-05,5.03413858774064e-19,0.0261815160786659,0.0503949132722788,0.592391120008495,0.739604437734153,1.1100504532042e-07
"CYB5R2",0.00553335609784133,3.33450277180991e-08,5.16467416999112e-54,9.87752747672432e-20,5.47628575734856e-09,0.00368488560264182,1.69204687791636e-11,4.23393994197475e-10,1.76646046485762e-09,8.30811504308446e-11,7.45878725609977e-50,0.0658792512386945,0.879907357324202,0.0232080605844687,0.170017970005848,4.61054119534053e-17
"CYP2J2",0.372491592686167,0.00400568774800401,1.24165350938152e-08,1.16939907823907e-19,0.000125388863846377,3.20753027477121e-137,0.000316563517226608,0.0622811637869292,0.212523764537816,0.429382379855795,0.0335728915177419,0.0636498343149931,0.659636200708437,0.32292038298057,0.483042527207087,0.00508938730717837
"CYTIP",0.000747471215421862,0.161194825710787,8.63227067183145e-07,0.720124029557401,0.664676346936669,0.217673935571919,0.0273904103906698,0.761904683829219,0.674716252819294,0.0966626965123295,0.0101110183820104,0.235873279695942,1.13965638201651e-10,0.000587661049999607,0.411486488608353,0.180461786329546
"DAB2IP",0.985875181647811,0.0331499637886366,3.24530687513096e-15,0.443194787541056,0.960799637937948,0.0294277855426049,0.170394556305787,0.862632630479383,0.201108473956067,0.714098204299783,2.92714741889175e-16,0.00489412819287132,0.0195831364496159,0.0969729810640556,0.13532050010973,0.00721875021650138
"DACT3",0.893399924065833,0.0549480142178018,8.89391888586426e-12,0.0839253122236644,0.00130887366389436,0.000149791393889215,0.0018521986866584,0.768993330849118,0.456789222050504,0.01509924317701,2.83903068334572e-10,0.392979030067803,0.257527436875602,0.519947564553598,0.200343152830954,7.36578986429919e-08
"DAPL1",0.406028372520878,0.000211188855306504,1.07218147570958e-108,2.3071708015743e-122,1.42063565178082e-103,8.6993891274515e-07,5.65711526696693e-96,1.16065604619849e-08,3.12117539160399e-06,9.3479958701773e-18,1.91093198881699e-45,0.978424074646047,2.80362544955901e-11,1.48235701111325e-16,3.49826111350904e-06,1.00767563621335e-17
"DCLK2",0.812573240858819,0.00569524787561646,1.33087785870539e-14,0.151519011806742,0.00152922290340456,0.00738488681788724,0.00692288129417435,0.232272732251419,0.158643864897772,0.0185847131750595,3.81292503287706e-20,0.580362161097683,0.000327886101985368,0.000153502047831754,0.0018671881915386,1.18402714942646e-09
"DDC",3.21332256287586e-24,9.19242140753029e-16,3.51187929864743e-107,7.13944469356044e-106,3.72487636023347e-70,2.95831463301331e-47,3.49243674820514e-12,7.67978915830272e-56,1.25917447270534e-09,8.03301892433045e-45,1.49984403871471e-40,0.71143852766935,2.66420431415668e-06,2.68198306585017e-05,0.145554451443054,4.91798778657564e-15
